timepoints (min);16: frq7+.1;17: frq7+.2;18: frq7+.3;19: frq1-.2;20: frq1-.3;;21: frq7-.1;22: frq7-.2;23: frq7-.3;24: frq9+.1;25: frq9+.2;26: frq9+.3;27: frq10+.1;28: frq10+.2;29: frq10+.3
7520;-107.539;-188.076;-173.945;209.601;184.272;;-147.012;-87.753;-131.192;133.625;208.326;180.978;-9.254;53.677;104.422
7530;-101.212;-191.084;-168.872;223.528;201.352;;-148.348;-85.55;-127.465;136.888;212.309;185.999;-10.164;52.177;108.545
7540;-94.83;-191.516;-164.439;237.615;216.451;;-149.11;-80.908;-121.778;139.708;212.999;191.519;-10.942;50.699;111.367
7550;-86.092;-190.61;-159.564;251.537;231.15;;-149.652;-76.131;-116.066;143.047;213.688;197.961;-11.706;49.222;113.389
7560;-77.265;-189.103;-153.545;262.221;247.345;;-149.797;-72.475;-110.367;145.996;211.352;204.814;-12.692;48.279;114.606
7570;-67.497;-184.774;-146.741;273.015;262.219;;-149.314;-69.183;-104.538;149.025;209.015;210.719;-13.639;47.335;115.422
7580;-58.419;-180.308;-139.53;282.29;276.468;;-148.752;-67.772;-98.437;152.909;205.869;217.855;-14.33;45.554;115.937
7590;-48.425;-174.788;-131.639;291.709;289.29;;-147.623;-66.423;-92.938;156.473;202.674;226.066;-15.288;43.546;115.672
7600;-38.568;-167.495;-123.531;300.608;300.239;;-145.455;-64.412;-85.543;160.043;199.92;234.634;-16.24;42.898;115.727
7610;-29.945;-159.423;-115.286;309.625;309.412;;-143.439;-62.443;-78.612;163.406;197.269;243.506;-16.41;42.319;114.869
7620;-21.577;-149.931;-107.2;318.521;316.138;;-140.308;-58.726;-71.215;167.639;195.069;248.066;-16.745;41.819;113.291
7630;-14.679;-139.839;-98.097;326.257;321.902;;-137.139;-55.153;-64.023;170.679;193.245;252.626;-16.763;40.792;113.783
7640;-8.592;-129.381;-88.8;332.952;326.116;;-134.234;-51.819;-56.072;174.119;192.378;255.447;-16.541;38.004;112.276
7650;-2.079;-117.179;-78.343;338.354;326.094;;-130.781;-48.548;-48.39;177.068;191.92;257.268;-16.346;34.432;110.564
7660;5.848;-101.597;-67.535;341.626;324.618;;-127.526;-45.262;-37.469;178.497;190.749;258.505;-16.239;32.804;108.172
7670;13.19;-86.208;-55.152;343.309;320.423;;-123.64;-42.156;-27.757;180.618;190.521;259.902;-16.055;30.127;105.819
7680;21.313;-70.211;-41.448;344.93;314.062;;-119.679;-37.974;-15.246;182.379;190.59;260.774;-16.154;27.588;104.226
7690;28.897;-54.854;-27.759;341.637;305.251;;-115.646;-33.874;-3.716;184.607;189.572;261.086;-16.254;24.156;103.604
7700;36.321;-38.073;-13.588;338.365;295.367;;-111.585;-28.334;9.414;187.914;188.444;259.652;-15.146;20.545;102.102
