timepoints (min);31: frq9-.1;32: frq9-.2;33: frq9-.3;34: frq10-.1;35: frq10-.2;36: frq10-.3;37: wc-1+.1;38: wc-1+.2;39: wc-1+.3;40: wc-2+.1;41: wc-2+.2;42: wc-2+.3;43: wc-1-.1;44: wc-1-.2;45: wc-1-.3
1680;2.154;-27.421;-8.622;-1.023;3.103;14.048;29.132;5.188;7.287;0.786;-12.949;63.899;-0.476;-3.203;2.748
1690;-0.448;-26.201;-15.886;-0.792;3.752;13.272;20.941;5.497;6.076;1.072;-14.072;61.817;-1.214;-4.935;2.745
1700;-3.134;-25.059;-22.392;-0.56;4.724;12.412;13.932;5.745;4.865;1.997;-15.194;59.734;-2.552;-6.262;1.978
1710;-5.579;-23.917;-28.899;-0.508;3.968;11.563;8.354;5.084;2.908;2.923;-15.399;57.651;-4.017;-5.702;0.843
1720;-7.804;-22.754;-34.779;-0.455;4.356;11.353;2.852;3.817;0.95;3.346;-15.603;55.596;-5.48;-5.502;-1.146
1730;-9.817;-21.401;-39.419;-0.559;4.743;10.459;-3.45;2.217;-1.392;3.77;-15.924;53.472;-7.448;-4.873;-2.88
1740;-11.857;-22.186;-46.252;-0.662;5.697;9.739;-9.799;0.349;-3.699;2.753;-15.686;51.348;-9.004;-3.425;-5.27
1750;-13.848;-22.971;-53.086;-0.793;7.535;8.971;-16.223;-1.472;-6.291;1.737;-15.399;49.223;-10.657;-2.628;-7.612
1760;-15.2;-23.57;-58.985;-0.924;9.87;7.481;-22.488;-3.788;-9.097;1;-15.792;47.461;-11.749;-1.75;-10.185
1770;-16.497;-24.363;-64.67;-1.124;14.286;5.971;-28.752;-6.894;-12.006;0.257;-16.185;45.815;-12.669;1.803;-12.557
1780;-17.273;-25.554;-68.735;-1.564;19.632;4.732;-35.015;-9.833;-14.914;-0.487;-16.578;44.17;-13.186;3.841;-15.717
1790;-17.924;-26.746;-72.8;-1.666;24.098;4.174;-41.025;-13.363;-16.766;-1.31;-17.061;42.524;-13.673;4.494;-18.898
1800;-18.095;-28.359;-76.43;-1.423;28.005;3.552;-47.56;-16.855;-18.617;-2.134;-17.658;41.874;-14.51;3.535;-21.066
1810;-19.906;-28.876;-77.255;-1.181;31.083;4.21;-54.335;-20.012;-19.748;-1.397;-18.255;41.225;-15.732;1.668;-23.138
1820;-22.097;-29.113;-78.101;-0.993;33.794;4.895;-60.295;-22.996;-21.106;-0.661;-18.732;40.575;-17.521;-0.756;-23.473
1830;-24.327;-29.681;-78.346;-0.086;36.506;5.033;-66.477;-25.979;-23.665;0.076;-19.21;38.599;-19.846;-2.621;-23.401
1840;-26.006;-30.25;-78.254;0.588;38.484;5.219;-72.001;-29.106;-26.348;1.292;-19.687;37.142;-21.023;-3.815;-24.309
