timepoints (min);31: frq9-.1;32: frq9-.2;33: frq9-.3;34: frq10-.1;35: frq10-.2;36: frq10-.3;37: wc-1+.1;38: wc-2+.1;39: wc-2+.2;40: wc-2+.3;41: wc-1-.1;42: wc-1-.2;43: wc-1-.3;44: wc-2-.1;45: wc-2-.2
2200;33.241;-27.406;-0.72;-29.461;-4.521;-8.549;-28.77;-13.786;-31.142;-0.782;39.375;-20.308;-9.583;-60.141;-22.712
2210;32.635;-24.884;-0.065;-31.217;-5.768;-6.913;-26.665;-13.075;-32.794;-0.072;37.132;-20.836;-9.266;-60.047;-23.971
2220;32.028;-22.211;1.11;-29.946;-6.476;-5.986;-24.606;-13.003;-33.607;0.639;35.381;-20.727;-10.321;-58.993;-23.91
2230;29.36;-17.258;0.279;-14.961;-6.8;-5.167;-22.499;-12.91;-34.481;1.273;34.317;-20.45;-11.652;-58.022;-23.85
2240;26.692;-12.657;0.67;0.323;-7.044;-4.872;-20.69;-13.429;-34.916;1.908;30.906;-20.081;-13.019;-57.154;-23.789
2250;26.676;-6.334;2.331;2.086;-7.428;-4.12;-18.684;-13.708;-33.639;1.862;25.228;-20.415;-14.047;-56.807;-25.538
2260;26.659;0.844;3.606;2.128;-8.308;-4.048;-16.389;-13.883;-32.554;-0.023;20.799;-20.868;-15.084;-56.459;-27.577
2270;28.738;8.001;4.88;0.375;-9.706;-4.527;-13.428;-12.378;-30.91;-1.909;17.319;-21.382;-15.099;-55.946;-29.615
2280;30.817;15.159;7.276;0.19;-11.145;-4.069;-10.141;-10.124;-29.183;-4.436;15.755;-21.974;-14.741;-54.473;-31.343
2290;34.327;22.571;12.192;0.646;-12.942;-3.175;-6.76;-7.822;-26.977;-6.963;15.359;-22.208;-14.735;-54.36;-32.392
2300;38.161;27.583;16.801;0.393;-14.429;-1.863;-3.4;-6.4;-24.607;-9.49;15.408;-22.203;-13.943;-54.192;-33.681
