timepoints (min);01: bdA+.1;02: bdA+.2;03: bdA+.3;04: cybdIm1+.1;05: cybdIm1+.2;06: cybdIm1+.3;07: bdA-.1;08: bdA-.2;09: bdA-.3;10: crybdIm1-.1;11: crybdIm1-.2;12: crybdIm1-.3;13: frq1+.1;14: frq1+.2;15: frq1+.3
2400;309.869;331.142;243.985;227.997;457.011;356.334;149.486;118.381;120.543;50.243;56.53;73.699;-288.73;-169.705;-241.01
2410;308.327;333.532;248.67;227.788;459.274;361.832;155.088;116.138;118.647;53.568;60.273;78.103;-291.137;-174.506;-256.705
2420;304.401;331.541;253.52;229.172;457.625;368.444;160.508;113.255;119.372;57.229;61.75;81.607;-294.317;-178.688;-271.52
2430;300.876;328.527;256.037;228.41;451.666;373.578;165.463;112.401;118.786;61.132;63.148;84.095;-297.632;-184.239;-285.32
2440;297.017;326.254;258.654;224.727;439.308;375.457;170.727;107.465;117.963;65.786;65.174;84.695;-299.422;-189.375;-297.761
2450;292.76;321.754;261.174;218.865;423.879;377.835;174.83;102.294;117.287;71.44;67.732;85.488;-300.432;-193.971;-306.394
2460;287.342;315.211;261.701;212.353;405.103;379.452;176.154;95.175;116.395;80.56;69.491;87.604;-301.63;-198.455;-312.964
2470;281.959;309.12;256.732;206.928;386.052;379.281;174.72;87.498;115.713;90.683;67.273;90.888;-303.407;-202.975;-317.621
2480;276.672;297.592;248.52;202.964;364.421;377.463;171.65;79.49;116.783;98.619;64.886;94.006;-304.105;-208.179;-319.043
2490;268.993;282.766;237.694;200.123;338.857;374.541;166.578;70.429;115.538;103.029;62.381;95.88;-303.512;-213.098;-321.455
2500;258.055;267.793;224.783;197.938;311.491;369.451;160.417;62.514;117.597;110.443;61.188;97.258;-302.127;-217.672;-323.687
2510;243.607;249.618;211.794;194.839;285.283;362.543;155.113;56.953;117.721;118.335;59.674;98.007;-301.342;-221.752;-323.877
2520;226.108;228.641;197.755;188.207;257.85;353.331;148.714;51.695;114.492;126.186;56.483;97.742;-300.244;-224.894;-323.783
2530;206.668;206.749;183.357;177.081;226.084;342.636;142.807;45.927;110.073;131.869;50.491;98.392;-299.61;-227.155;-323.04
2540;186.605;183.819;167.159;162.803;194.383;330.508;134.571;37.914;106.868;137.379;44.237;98.492;-299.245;-228.446;-321.31
2550;166.706;159.451;150.244;147.839;162.393;316.75;125.345;29.447;104.361;142.152;39.228;99.036;-298.965;-228.634;-319.426
2560;146.961;135.153;134.611;132.669;129.331;301.106;117.502;20.979;101.279;146.855;35.934;99.128;-297.881;-227.603;-316.875
2570;126.403;111.017;120.803;118.811;94.874;284.743;109.501;13.683;95.615;148.517;32.189;99.034;-295.748;-225.828;-313.528
2580;104.84;86.512;107.417;105.178;59.201;267.952;102.037;6.716;89.641;147.912;27.404;98.636;-292.488;-224.221;-310.884
2590;83.829;60.93;94.156;90.64;25.183;249.479;95.345;-0.361;83.983;146.866;22.757;96.877;-287.552;-222.95;-309.207
2600;65.299;36.077;80.745;78.822;-9.792;228.552;87.637;-5.839;78.252;145.779;16.626;93.167;-281.946;-220.812;-307.051
