timepoints (min);31: frq9,- -1;32: frq9,- -2;33: frq9,- -3;34: frq10,- -1;35: frq10,- -2;36: frq10,- -3;37: wc-1,+ -1;38: wc-1,+ -3;39: wc-2,+ -1;40: wc-2,+ -2;41: wc-2,+ -3;42: wc-1,- -1;43: wc-1,- -2;average;45: wc-2,- -1
2350;95.223;50.179;85.608;77.246;-12.848;-25.888;85.566;-24.64;24.087;-21.567;-28.652;-24.593;-4.399;-4.399;-11.087
2360;98.221;49.011;83.691;85.23;-12.596;-16.982;90.099;-19.608;23.451;-18.509;-27.223;-25.465;-2.48;-2.48;-10.109
2370;101.246;47.043;81.35;93.015;-10.241;-8.53;94.295;-15.061;22.663;-16.596;-26.077;-27.112;-0.274;-0.274;-9.131
2380;103.29;44.992;77.913;99.463;-7.887;0.095;99.139;-10.619;21.641;-13.323;-24.863;-28.657;2.16;2.16;-7.179
2390;105.84;44.621;73.116;106.792;-4.007;7.668;103.69;-6.703;20.339;-10.084;-24.043;-29.881;5.019;5.019;-5.033
2400;109.083;44.112;67.87;111.91;-1.836;14.916;107.546;-3.634;18.877;-6.846;-23.222;-31.422;7.56;7.56;-2.185
2410;111.899;46.323;63.425;117.563;0.135;22.585;110.199;-0.777;17.263;-5.178;-22.555;-32.901;10.452;10.452;0.223
2420;113.586;49.91;58.966;122.971;-0.326;30.708;111.73;2.141;15.65;-3.51;-21.914;-34.288;13.072;13.072;2.069
2430;114.246;55.828;52.066;127.346;-0.532;37.244;113.048;5.697;14.036;-1.778;-20.388;-35.619;15.244;15.244;3.435
2440;113.611;58.985;45.146;131.023;-0.432;42.843;113.825;9.35;12.167;0.196;-18.606;-36.885;16.564;16.564;4.513
2450;114.153;62.59;37.534;134.981;2.291;46.953;114.694;13.281;10.138;2.17;-16.823;-37.234;17.186;17.186;5.59
2460;113.818;66.59;29.949;137.53;5.641;49.823;112.549;16.686;8.069;3.583;-13.446;-37.182;17.885;17.885;6.308
2470;111.902;69.563;23.055;140.625;9.779;52.761;109.208;21.028;6;5.077;-10.068;-36.931;21.41;21.41;6.87
2480;110.214;73.712;16.037;143.197;12.33;52.779;105.418;24.847;3.945;6.385;-7.717;-36.971;24.913;24.913;7.337
2490;108.086;77.654;10.949;145.332;12.64;54.465;102.67;28.172;1.89;7.692;-5.622;-36.228;26.921;26.921;7.123
2500;106.738;81.263;5.868;146.372;12.95;57.222;99.11;31.619;-0.166;9.04;-3.527;-35.712;28.564;28.564;6.826
2510;105.11;84.577;3.408;145.051;13.461;60.898;98.113;35.819;-3.181;9.808;-5.617;-34.383;30.31;30.31;7.291
2520;103.408;87.93;1.087;145.25;13.836;65.683;95.985;40.629;-5.775;10.577;-7.706;-33.717;30.804;30.804;7.818
2530;99.879;90.372;-1.234;144.654;14.054;69.39;93.961;46.15;-8.37;11.345;-6.839;-32.771;30.748;30.748;9.072
2540;96.175;93.015;-3.811;144.818;13.844;70.498;90.803;51.097;-10.964;12.003;-5.971;-29.571;30.788;30.788;10.25
2550;90.766;94.196;-6.388;143.825;13.49;71.989;87.88;55.378;-13.559;13.621;-5.103;-28.709;31.817;31.817;10.828
2560;85.316;94.862;-6.868;143.172;14.382;71.887;86.033;59.953;-15.833;15.206;-2.428;-27.637;34.095;34.095;11.378
2570;80.869;96.368;-7.354;142.106;16.206;73.927;84.248;64.063;-18.108;16.79;0.248;-28.241;36.359;36.359;11.086
2580;77.222;95.636;-8.433;140.135;19.226;75.11;82.721;67.299;-19.822;18.168;2.957;-26.317;38.2;38.2;10.953
2590;73.761;95.623;-9.56;137.644;22.756;77.094;79.466;70.546;-21.502;19.226;5.666;-24.425;38.545;38.545;11.469
2600;68.221;96.294;-10.335;134.483;26.326;77.897;75.019;73.112;-23.182;21.124;8.368;-23.335;39.481;39.481;13.182
