timepoints (min);01: bdA+.1;02: bdA+.2;03: bdA+.3;04: crybdIm1+.1;05: crybdIm1+.2;;06: bdA-.1;07: bdA-.2;08: bdA-.3;09: crybdIm1-.1;10: crybdIm1-.2;11: crybdIm1-.3;12: frq1+.1;13: frq1+.2;14: frq1+.3
2710;-62.435;-111.443;-127.359;209.65;-82.783;;29.611;24.448;25.167;-27.774;-81.081;-101.284;361.399;412.099;359.428
2720;-52.855;-105.785;-123.481;207.818;-80.378;;43.03;39.757;34.11;-23.2;-72.27;-95.832;352.626;396.786;357.123
2730;-40.781;-98.832;-118.004;205.986;-77.953;;56.41;58.612;44.716;-18.626;-61.473;-90.356;341.356;378.386;353.942
2740;-28.465;-90.661;-113.139;204.154;-75.528;;70.512;78.361;58.01;-13.029;-50.116;-85.483;329.441;357.348;348.086
2750;-12.423;-82.081;-108.931;201.993;-72.913;;84.094;98.977;71.31;-7.432;-36.181;-80.585;316.924;335.338;339.337
2760;5.561;-70.441;-104.817;198.681;-70.291;;97.415;119.472;86.543;-1.963;-23.258;-73.592;303.477;312.861;328.793
2770;25.418;-57.214;-99.683;195.37;-67.861;;112.2;139.549;102.388;3.506;-11.295;-66.261;289.786;288.422;317.543
2780;45.628;-44.171;-93.269;191.258;-65.626;;128.265;162.37;118.232;8.975;1.087;-57.873;273.923;263.775;305.665
2790;65.844;-29.739;-86.615;187.167;-64.214;;143.683;183.99;137.643;14.112;13.594;-50.154;255.164;237.543;293.599
2800;84.767;-12.945;-80.088;182.276;-63.378;;158.983;205.921;157.637;19.248;26.36;-42.912;237.103;211.44;280.804
2810;102.77;7.349;-73.041;177.385;-62.535;;174.284;225.295;177.632;25.488;37.092;-35.999;218.905;185.822;266.612
2820;119.143;28.67;-65.28;172.001;-61.503;;191.102;243.666;197.181;31.728;46.985;-29.226;199.418;159.065;251.044
2830;132.954;49.065;-58.159;163.927;-60.472;;210.302;261.637;216.599;37.968;57.397;-22.639;180.179;131.08;234.465
2840;146.766;68.065;-49.614;155.852;-59.534;;229.502;280.029;236.636;46.619;66.281;-16.019;159.236;103.101;216.484
2850;160.829;85.804;-40.663;147.778;-58.679;;248.806;297.923;256.876;55.27;76.846;-9.634;138.21;75.37;197.324
2860;176.739;103.149;-31.036;140.833;-57.888;;267.204;315.881;276.95;65.17;90.684;-0.891;117.661;48.451;178.669
2870;193.858;121.174;-21.178;131.437;-56.99;;285.003;333.52;293.254;75.069;104.621;9.628;97.817;22.142;160.185
2880;209.676;140.738;-11.2;122.041;-55.607;;297.084;349.084;304.534;84.968;120.651;20.139;78.97;-2.557;142.04
2890;225.494;161.359;-0.64;112.646;-54.297;;305.916;366.629;315.814;91.542;136.895;30.869;60.171;-27.252;123.705
2900;239.386;181.364;8.505;104.953;-52.699;;314.148;380.56;324.71;98.116;154.059;43.341;42.149;-51.463;104.681
2910;254.872;200.859;18.663;95.357;-51.354;;320.075;394.546;330.167;103.429;172.4;55.367;24.247;-74.63;85.794
2920;267.357;220.967;29.635;85.761;-50.099;;324.361;402.585;335.623;108.742;189.775;67.833;7.154;-96.285;66.284
2930;277.08;241.554;42.142;76.886;-49.389;;326.106;408.677;338.743;114.055;205.47;80.766;-8.483;-116.432;46.141
2940;287.168;261.67;56.49;68.072;-48.713;;325.69;411.634;341.516;119.414;216.884;92.09;-23.357;-135.041;26.788
2950;297.28;281.275;70.741;57.298;-48.512;;324.033;410.312;344.261;124.772;228.792;103.698;-38.018;-151.473;7.19
2960;308.739;299.931;87.429;46.524;-48.505;;321.295;405.71;343.458;131.12;239.56;117.248;-52.357;-168.877;-11.745
2970;319.734;318.754;104.561;36.361;-48.634;;310.959;398.923;342.379;137.468;249.095;130.225;-66.09;-187.112;-28.737
2980;327.738;337.154;120.401;25.27;-49.007;;300.622;385.636;338.479;143.815;256.39;143.55;-80.514;-203.752;-45.125
2990;336.011;354.012;136.161;14.179;-49.474;;288.513;372.397;333.69;149.541;260.75;158.632;-95.557;-217.492;-59.945
3000;340.545;370.08;153.513;3.088;-50.561;;276.794;355.252;328.901;155.266;262.629;173.285;-110.353;-230.516;-74.052
3010;339.817;383.177;171.472;-6.783;-51.779;;265.076;338.821;322.081;157.127;263.468;185.436;-125.018;-242.876;-87.57
3020;333.352;393.272;186.95;-17.651;-52.625;;251.834;323.604;311.31;158.988;265.105;196.062;-139.414;-252.95;-101.528
3030;323.31;402.134;201.076;-28.519;-53.519;;240.083;303.548;300.539;160.848;266.557;205.043;-152.421;-262.668;-115.87
3040;313.276;409.354;215.033;-39.386;-53.401;;228.331;284.275;285.498;160.476;273.319;217.512;-162.836;-270.697;-130.4
3050;301.742;412.953;230.639;-49.026;-52.903;;215.006;264.081;269.374;160.103;280.25;229.021;-173.186;-277.308;-145.139
3060;289.465;412.476;244.476;-60.161;-52.68;;200.83;246.928;251.81;158.643;287.021;241.785;-182.276;-282.731;-159.404
3070;278.07;411.599;255.193;-71.297;-52.397;;184.015;229.84;231.702;157.182;292.505;254.385;-190.113;-286.739;-172.327
3080;268.266;410.39;265.052;-79.472;-52.188;;163.295;213.212;211.698;155.721;297.303;266.985;-197.142;-289.377;-184.259
3090;258.565;408.137;273.354;-87.412;-51.829;;143.513;194.324;191.05;151.139;300.37;278.647;-202.687;-292.374;-194.895
3100;250.27;404.628;281.927;-95.273;-51.532;;124.175;175.811;170.075;146.557;300.061;289.353;-207.033;-293.563;-203.964
3110;242.829;401.201;288.219;-103.134;-50.989;;106.734;157.378;149.099;139.999;298.872;296.909;-210.185;-294.567;-212.945
3120;234.697;397.623;292.352;-108.364;-50.446;;88.852;139.251;127.196;133.44;298.703;302.363;-214.05;-296.057;-221.749
3130;226.73;392.112;295.372;-114.301;-50.037;;74.639;121.517;109.379;126.881;296.586;306.697;-218.429;-298.825;-230.193
3140;219.225;382.779;298.128;-120.237;-49.808;;67.601;103.183;91.563;122.145;293.509;310.877;-222.429;-301.061;-237.309
3150;213.8;374.556;300.597;-126.174;-49.985;;60.564;86.178;77.474;117.408;290.497;312.327;-225.075;-301.109;-243.732
3160;206.702;365.407;302.401;-130.51;-50.181;;54.939;69.286;62.108;111.537;286.183;312.585;-225.019;-300.073;-250.421
3170;201.473;354.524;301.046;-134.873;-50.084;;49.829;55.174;49.386;105.665;281.284;312.054;-223.412;-298.611;-256.276
3180;198.265;342.941;295.785;-139.236;-49.263;;44.719;41.172;37.244;99.793;278.134;308.043;-221.247;-296.957;-260.211
