timepoints (min);31: frq9-.2;32: frq9-.3;33: frq10-.1;34: frq10-.2;35: frq10-.3;36: wc-1+.1;37: wc-1+.2;38: wc-1+.3;39: wc-2+.1;40: wc-2+.3;41: wc-1-.1;42: wc-1-.3;43: wc-2-.1;44: wc-2-.2;45: wc-2-.3
2380;2.034;60.768;22.637;-10.666;8.294;-78.709;-33.365;-27.545;-123.79;-159.497;16.353;-3.174;1.676;-0.079;-30.916
2390;4.332;61.401;20.137;-12.79;7.501;-78.836;-34.356;-23.353;-121.204;-153.705;17.247;-7.441;-0.025;-1.291;-33.27
2400;7.108;61.982;17.808;-14.64;6.068;-78.844;-36.313;-19.291;-118.597;-147.501;18.668;-7.939;-1.726;-3.183;-35.659
2410;10.226;62.563;13.098;-16.97;4.848;-78.654;-38.257;-15.44;-115.386;-140.572;20.139;-7.608;-2.597;-5.076;-36.612
2420;13.905;62.21;8.436;-19.579;4.172;-77.84;-41.186;-11.474;-111.581;-132.208;21.455;-7.277;-3.069;-6.92;-37.517
2430;17.335;61.857;2.268;-21.207;4.617;-76.461;-44.226;-7.863;-107.966;-124.077;22.778;-6.817;-3.486;-8.943;-39.342
2440;20.125;61.339;-3.68;-24.702;5.128;-74.997;-47.315;-4.468;-104.139;-116.534;23.986;-6.356;-3.902;-11.087;-41.36
2450;22.695;60.822;-8.335;-26.428;6.074;-73.412;-50.145;-1.197;-99.585;-110.335;25.178;-5.748;-4.359;-12.79;-43.658
2460;25.225;60.692;-13.145;-28.673;6.181;-72.008;-52.676;1.357;-94.567;-103.021;26.451;-5.059;-4.655;-14.349;-46.08
2470;26.604;60.563;-17.898;-30.234;6.051;-70.512;-55.276;3.841;-89.108;-94.768;27.828;-4.699;-4.862;-15.908;-47.262
2480;28.263;60.942;-22.717;-31.796;6.092;-69.143;-57.639;4.596;-83.952;-85.743;28.923;-4.414;-5.069;-17.314;-48.423
2490;27.592;61.321;-26.47;-34.228;6.494;-67.775;-59.727;4.437;-78.6;-76.563;29.91;-4.128;-5.931;-17.441;-49.625
2500;26.428;61.094;-28.611;-36.659;7.308;-66.063;-61.946;3.851;-73.796;-66.999;31.086;-3.724;-6.713;-17.768;-50.778
2510;24.283;60.866;-31.571;-39.145;8.332;-64.077;-63.997;2.614;-69.359;-57.094;31.927;-3.32;-7.385;-17.957;-51.411
2520;21.115;58.578;-34.338;-42.557;9.117;-61.836;-65.808;1.298;-65.135;-47.237;32.633;-3.018;-8.057;-18.146;-52.037
2530;19.266;56.29;-35.699;-44.092;9.654;-60.241;-67.578;0.334;-60.937;-37.501;32.583;-2.716;-8.912;-18.149;-52.157
2540;17.632;52.999;-36.268;-46.972;10.135;-59.314;-68.746;0.228;-57.039;-28.381;32.575;-2.539;-9.367;-15.752;-52.237
2550;17.197;49.708;-36.217;-49.83;11.137;-58.316;-68.999;0.041;-53.255;-19.752;33.181;-2.27;-9.746;-14.555;-51.783
2560;16.887;47.23;-36.273;-52.353;11.788;-56.858;-69.161;0.623;-49.909;-11.017;33.807;-2.321;-10.126;-13.371;-51.346
2570;16.457;44.912;-36.654;-54.876;12.977;-55.621;-68.655;1.084;-47.062;-2.941;34.305;-2.655;-10.728;-12.188;-50.247
2580;15.868;42.393;-37.066;-55.72;14.126;-53.945;-67.756;0.935;-44.222;4.342;34.327;-2.989;-10.851;-11.039;-48.782
2590;14.599;40.088;-35.709;-56.564;15.034;-51.975;-66.767;0.88;-41.313;10.71;33.415;-3.218;-10.988;-8.65;-47.283
2600;13.401;38.417;-36.64;-57.966;16.141;-49.487;-66.015;0.868;-38.806;17.37;32.545;-3.447;-11.124;-6.341;-45.63
2610;12.288;36.364;-37.626;-59.887;17.887;-47.039;-65.382;1.099;-37.194;23.441;31.876;-3.687;-11.588;-4.121;-43.971
2620;11.139;35.775;-38.35;-62.988;19.756;-44.713;-64.77;1.022;-35.019;28.353;31.265;-4.011;-12.291;-2.04;-42.552
2630;10.338;35.157;-39.006;-66.109;21.655;-42.924;-63.847;1.099;-32.665;33.466;30.295;-4.468;-13.036;0.041;-41.126
2640;8.457;34.219;-39.73;-68.314;23.234;-41.814;-62.506;0.857;-29.193;38.68;29.305;-4.884;-13.781;2.683;-39.619
2650;6.706;33.741;-40.978;-70.214;25.488;-40.393;-60.084;0.332;-25.503;43.834;27.935;-5.301;-14.283;5.324;-38.23
2660;3.716;33.403;-40.852;-70.633;26.985;-39.222;-57.524;-0.45;-21.192;48.164;26.29;-5.632;-15.545;7.966;-37.641
2670;0.615;34.361;-39.924;-69.292;27.721;-38.372;-53.648;-1.44;-16.977;52.148;24.153;-5.963;-16.841;10.607;-37.004
