timepoints (min);31: frq9-.2;32: frq9-.3;33: frq10-.1;34: frq10-.2;35: frq10-.3;36: wc-1+.1;37: wc-1+.2;38: wc-1+.3;39: wc-2+.1;40: wc-2+.2;41: wc-2+.3;42: wc-1-.1;43: wc-1-.2;44: wc-1-.3;45: wc-2-.1
2500;4.063;17.474;-45.601;0.778;15.65;-14.841;-19.553;-35.132;29.519;-7.876;7.059;-24.632;-50.44;-15.56;-7.35
2510;3.521;18.15;-41.881;0.29;15.819;-11.577;-17.484;-34.274;30.204;-7.486;7.593;-23.97;-51.908;-16.258;-7.379
2520;2.509;22.106;-39.908;-0.165;16.567;-7.759;-16.055;-33.023;30.09;-7.643;8.01;-23.982;-55.255;-16.396;-7.408
2530;0.498;25.772;-38.494;-0.628;16.892;-4.967;-14.425;-32.524;29.975;-7.8;7.866;-24.537;-57.124;-15.619;-7.437
2540;-2.313;28.599;-37.018;-0.53;17.444;-2.608;-10.59;-31.552;30.102;-7.957;7.723;-24.313;-53.993;-14.172;-5.971
2550;-5.014;32.142;-33.772;-0.266;18.319;-0.928;-7.538;-30.457;30.077;-7.804;8.299;-23.069;-51.186;-13.131;-4.505
2560;-7.874;34.822;-28.988;-0.001;19.193;1.732;-4.486;-29.204;28.892;-7.921;9.007;-21.825;-50.008;-11.97;-3.039
2570;-9.166;37.495;-23.67;0.201;19.443;5.581;-1.727;-27.619;27.708;-8.039;10.434;-21.404;-48.103;-10.977;-1.745
2580;-11.178;40.822;-21.29;0.528;18.455;9.989;0.15;-25.364;26.523;-8.156;11.862;-22.164;-45.811;-9.514;-0.451
2590;-11.697;42.578;-19.233;0.655;17.388;14.167;2.457;-22.251;25.338;-8.403;13.41;-22.596;-43.458;-8.397;0.843
2600;-12.27;45.156;-17.263;0.706;16.95;17.77;5.069;-20.234;23.713;-8.663;14.668;-21.905;-40.872;-7.32;1.87
2610;-12.084;47.254;-15.243;0.814;15.901;22.068;7.681;-19.236;21.716;-8.924;16.086;-21.214;-38.952;-6.527;2.898
2620;-11.039;48.051;-12.618;1.08;13.182;25.556;9.312;-18.141;19.836;-9.185;17.503;-20.148;-36.032;-5.571;3.926
2630;-10.782;46.378;-10.495;1.312;10.943;28.571;9.914;-16.639;16.996;-9.628;18.292;-19.455;-31.974;-4.557;4.283
2640;-10.401;45.079;-8.014;1.903;7.33;30.611;10.877;-14.782;14.156;-9.985;18.999;-18.399;-30.145;-2.303;4.64
2650;-9.772;46.527;-7.975;2.537;4.628;32.541;12.389;-13.263;11.316;-10.342;19.065;-18.215;-29.543;6.846;4.997
2660;-10.623;47.713;-9.068;3.32;3.392;35.117;13.901;-12.212;8.476;-10.699;19.131;-18.032;-30.364;8.259;4.514
2670;-11.392;48.481;-8.559;3.945;3.262;37.574;14.891;-11.16;6.156;-11.359;19.261;-17.854;-30.291;10.077;4.046
2680;-14.377;49.105;-8.022;4.604;3.132;39.179;15.063;-10.554;4.194;-11.319;19.377;-19.352;-29.128;11.135;3.577
2690;-15.359;45.479;-6.934;4.83;1.886;40.314;15.476;2.61;2.357;-11.279;18.852;-20.473;-28.29;11.775;4.258
2700;-17.499;41.418;-7.662;5.057;-0.088;41.869;15.338;4.439;0.52;-11.239;17.968;-20.005;-29.691;11.338;4.898
2710;-18.2;34.557;-8.225;5.265;-2.222;45.639;15.2;3.789;-1.037;-11.702;17.057;-19.538;-30.463;11.066;5.538
2720;-19.032;28.048;-11.058;5.404;-4.043;49.484;14.034;3.208;-2.594;-11.914;16.27;-19.381;-29.116;11.354;6.433
2730;-20.509;22.179;-12.571;5.433;-5.863;50.422;12.171;4.49;-4.152;-12.127;15.484;-20.357;-26.423;11.636;7.441
2740;-22.063;16.338;-14.346;5.619;-8.313;52.063;10.665;4.061;-5.309;-12.339;13.698;-21.062;-23.953;12.72;8.45
2750;-23.639;12.57;-14.524;5.785;-11.139;54.433;8.714;2.291;-6.577;-12.946;11.891;-20.851;-21.593;14.034;9.327
2760;-24.374;8.877;-14.606;6.03;-12.234;55.323;6.764;1.679;-7.886;-14.334;9.964;-20.64;-19.706;14.269;9.501
2770;-24.992;3.331;-14.532;6.421;-13.563;55.873;6.324;1.563;-9.194;-15.721;8.037;-20.691;-20.039;13.781;9.674
2780;-25.49;-2.761;-14.195;6.783;-15.31;57.204;7.145;2.088;-10.343;-17.109;6.39;-19.844;-20.2;13.619;9.848
2790;-25.879;-8.08;-14.105;7.295;-17.428;59.21;5.199;1.687;-11.492;-18.337;4.743;-18.956;-23.047;13.617;9.626
2800;-26.102;-12.745;-12.919;7.807;-19.425;61.404;2.617;1.294;-12.759;-19.406;2.377;-18.206;-25.425;12.967;9.404
2810;-26.712;-16.469;-12.07;7.892;-21.379;62.782;-0.007;1.272;-12.865;-20.474;0.01;-17.365;-29.383;11.886;9.182
2820;-27.28;-20.839;-11.252;7.916;-22.876;62.637;-3.022;0.891;-12.971;-21.543;-1.877;-15.338;-31.363;11.884;8.594
2830;-26.648;-26.597;-9.823;7.559;-23.89;62.45;-5.123;-1.233;-13.077;-21.532;-4.012;-13.252;-32.778;11.868;8.007
2840;-26.091;-30.967;-8.277;7.283;-25.101;62.97;-7.134;-3.29;-13.204;-21.606;-6.268;-11.964;-31.668;12.331;7.419
2850;-25.201;-35.578;-8.288;7.014;-26.312;63.629;-9.377;-3.817;-14.091;-21.679;-8.523;-9.142;-30.403;12.421;7.52
2860;-24.974;-39.546;-8.154;6.601;-28.229;63.996;-11.461;-5.749;-14.978;-21.752;-10.418;-6.334;-28.775;12.685;7.559
