timepoints (min);16: frq7+.1;17: frq7+.2;18: frq7+.3;19: frq1-.1;20: frq1-.2;21: frq1-.3;22: frq7-.1;23: frq7-.2;24: frq7-.3;25: frq9+.1;26: frq9+.2;27: frq9+.3;28: frq10+.1;29: frq10+.2;30: frq10+.3
2170;-147.768;-147.055;-143.579;8.334;139.439;32.608;-71.008;-90.196;-87.956;-17.052;5.414;-26.552;6.619;-6.806;-8.625
2180;-148.073;-147.429;-145.051;4.487;128.531;29.938;-69.131;-88.138;-84.659;-17.152;12.432;-23.713;8.09;-6.272;-8.59
2190;-148.905;-147.961;-147.185;-1.746;116.131;27.772;-67.109;-86.183;-81.004;-19.659;19.417;-24.395;9.254;-6.097;-8.981
2200;-149.719;-148.309;-150.455;-7.843;103.611;23.828;-65.553;-84.313;-77.908;-20.062;24.378;-26.277;8.179;-5.703;-9.885
2210;-151.479;-149.061;-154.252;-14.139;89.379;19.203;-64.421;-82.691;-75.611;-21.472;29.588;-26.538;8.095;-4.709;-11.327
2220;-153.243;-150.788;-157.505;-21.476;72.537;13.753;-63.728;-82.469;-74.345;-24.563;34.477;-25.077;8.83;-3.77;-11.241
2230;-155.292;-153.141;-160.429;-29.261;53.706;7.335;-62.695;-82.232;-73.957;-28.141;39.234;-20.6;8.412;-3.179;-12.023
2240;-157.215;-156.047;-162.457;-37.237;34.498;-0.458;-61.818;-82.381;-74.462;-33.465;42.876;-14.541;7.628;-2.429;-12.131
2250;-158.56;-160.277;-164.119;-45.527;14.636;-9.315;-61.415;-83.979;-75.967;-38.727;47.186;-8.497;7.361;-1.592;-11.709
2260;-160.057;-164.68;-165.761;-53.865;-1.546;-20.223;-61.121;-85.585;-78.283;-43.528;51.204;-1.68;6.905;-0.727;-11.036
2270;-161.243;-168.338;-168.039;-63.083;-18.218;-32.571;-60.908;-87.95;-80.865;-45.848;53.399;2.775;5.121;-0.338;-10.564
2280;-161.463;-171.422;-170.956;-72.232;-31.828;-45.079;-60.76;-89.083;-82.538;-46.768;55.106;5.713;3.171;0.771;-10.487
2290;-161.625;-174.444;-174.415;-81.215;-48.068;-58.243;-61.218;-90.119;-82.674;-47.359;56.036;6.226;1.39;1.748;-10.361
2300;-161.997;-177.426;-177.33;-89.326;-61.356;-71.116;-60.916;-90.789;-82.866;-46.923;56.601;7.03;-0.47;2.669;-10.396
2310;-162.142;-179.945;-179.481;-97.774;-73.964;-81.535;-61.13;-92.619;-82.618;-45.302;55.934;10.295;-1.2;3.284;-10.211
2320;-160.71;-181.862;-181.244;-104.982;-88.062;-90.847;-61.668;-94.277;-82.832;-44.657;55.223;13.382;-1.639;2.219;-10.128
2330;-159.29;-183.53;-183.174;-112.163;-100.668;-100.341;-62.725;-94.644;-83.232;-44.575;54.592;18.978;-3.047;2.473;-10.479
2340;-158.702;-185.566;-185.359;-116.097;-113.292;-109.626;-63.269;-95.287;-83.832;-43.279;53.92;23.294;-4.79;2.817;-10.669
2350;-158.847;-188.844;-188.695;-118.89;-124.994;-118.288;-64.692;-95.152;-84.276;-40.142;52.465;28.383;-6.182;2.97;-11.343
2360;-159;-192.452;-192.632;-119.686;-137.583;-127.968;-67.073;-94.865;-85.383;-37.116;50.393;35.07;-6.84;2.51;-11.441
2370;-158.59;-195.487;-197.428;-121.641;-149.172;-136.673;-69.699;-95.063;-87.531;-33.032;47.443;42.197;-7.077;2.902;-11.659
2380;-157.455;-198.555;-201.884;-123.163;-159.65;-143.633;-72.077;-95.863;-91.93;-28.966;44.734;48.132;-7.916;3.546;-10.623
2390;-155.881;-201.557;-204.439;-126.543;-169.16;-149.909;-74.055;-96.408;-96.393;-25.541;42.19;50.617;-9.65;3.695;-10.426
2400;-154.52;-203.646;-205.774;-130.45;-179.555;-156.177;-75.666;-97.768;-100.777;-21.519;37.087;59.926;-10.281;3.49;-10.869
2410;-153.316;-204.679;-205.408;-135.789;-188.674;-163.63;-77.615;-99.495;-103.715;-16.691;31.728;67.53;-11.062;4.217;-11.326
2420;-153.564;-205.07;-204.648;-139.468;-197.034;-168.051;-79.903;-100.745;-106.492;-12.124;27.428;69.996;-13.514;6.342;-12.119
2430;-153.763;-204.516;-204.479;-142.898;-204.807;-170.732;-81.949;-103.114;-109.379;-12.157;24.654;64.923;-12.051;8.268;-12.206
2440;-153.679;-203.319;-204.661;-142.661;-211.218;-168.96;-84.713;-105.132;-112.586;-10.388;24.032;59.836;-9.692;9.748;-11.972
2450;-154.343;-201.499;-204.047;-142.895;-218.008;-170.288;-87.694;-107.15;-115.879;-7.946;24.232;55.117;-6.294;10.35;-12.081
2460;-154.068;-199.335;-202.446;-143.161;-223.297;-170.757;-90.674;-107.826;-119.061;-1.465;24.432;47.826;-6.452;10.447;-11.659
2470;-153.317;-197.316;-200.786;-142.414;-227.046;-172.982;-93.291;-108.262;-121.881;5.877;23.585;39.775;-6.218;10.516;-10.157
