timepoints (min);01: bdA+.1;02: bdA+.2;03: bdA+.3;04: crybdIm1+.1;05: crybdIm1+.2;06: crybdIm1+.3;07: bdA-.1;08: bdA-.2;09: bdA-.3;10: crybdIm1-.1;11: crybdIm1-.2;12: crybdIm1-.3;13: frq1+.1;14: frq1+.2;15: frq1+.3
7960;-145.345;-178.851;-118.87;-164.603;-177.128;-167.738;-111.556;-187.906;-116.433;-97.334;-159.207;-109.571;-320.811;-212.211;-288.181
7970;-148.277;-186.196;-122.531;-169.233;-183.087;-171.356;-112.928;-192.439;-120.743;-100.731;-164.305;-114.717;-327.651;-215.074;-293.666
7980;-150.786;-192.825;-126.909;-174.723;-189.225;-174.48;-113.214;-196.702;-124.284;-104.305;-168.577;-118.803;-333.12;-218.79;-299.36
7990;-152.687;-197.567;-132.103;-180.332;-195.037;-177.501;-113.048;-198.83;-127.979;-107.697;-171.41;-121.677;-336.116;-222.273;-304.828
8000;-154.428;-201.734;-137.686;-185.945;-199.345;-180.708;-112.204;-199.389;-131.437;-112.212;-173.01;-124.779;-337.066;-225.389;-307.396
8010;-155.348;-205.961;-142.948;-191.058;-203.29;-183.794;-111.287;-199.408;-134.977;-116.036;-174.201;-127.723;-337.819;-228.026;-309.108
8020;-156.086;-210.366;-147.825;-195.537;-205.062;-186.55;-109.756;-200.574;-137.799;-119.004;-175.381;-130.446;-338.937;-230.412;-311.033
8030;-156.519;-213.486;-152.811;-199.361;-205.868;-189.074;-107.891;-200.945;-139.914;-121.492;-175.17;-131.48;-339.554;-232.505;-311.119
8040;-156.806;-216.714;-157.643;-203.097;-206.781;-190.894;-105.539;-201.585;-141.794;-123.807;-174.559;-131.982;-339.741;-234.844;-310.044
8050;-157.276;-219.901;-161.306;-206.361;-207.803;-191.981;-103.112;-201.761;-143.354;-125.49;-174.327;-132.443;-340.328;-236.288;-308.488
8060;-157.386;-223.108;-164.832;-209.094;-208.804;-192.426;-101.52;-201.251;-144.397;-125.967;-174.092;-132.502;-341.157;-236.621;-307.194
8070;-157.088;-225.492;-167.697;-211.418;-209.815;-193.108;-100.243;-199.748;-144.341;-126.189;-174.159;-132.386;-341.446;-235.97;-305.615
8080;-156.71;-227.75;-170.108;-213.433;-210.683;-193.743;-98.91;-197.924;-144.164;-126.386;-174.497;-132.714;-339.932;-234.839;-303.938
8090;-156.246;-230.548;-171.942;-215.419;-211.804;-194.636;-97.316;-196.163;-143.731;-127.233;-174.659;-133.367;-337.479;-233.687;-302.788
8100;-155.728;-232.53;-173.466;-217.274;-213.102;-195.006;-95.015;-194.694;-142.978;-127.775;-174.357;-133.647;-335.323;-232.815;-301.975
8110;-154.848;-233.775;-175.371;-218.538;-214.572;-195.145;-93.142;-193.757;-142.632;-127.999;-174.332;-133.034;-333.189;-232.094;-301.64
8120;-153.516;-235.723;-177.276;-219.648;-216.034;-195.074;-91.603;-193.003;-141.917;-128.663;-175.015;-132.517;-330.349;-230.983;-301.211
8130;-151.912;-237.823;-178.701;-220.924;-217.807;-194.83;-90.903;-192.57;-142.412;-129.581;-175.273;-132.007;-328.041;-229.319;-300.292
8140;-150.452;-240.142;-180.686;-221.512;-219.404;-194.281;-90.268;-192.764;-142.556;-130.455;-175.756;-132.12;-325.983;-228.143;-299.785
8150;-148.837;-242.457;-182.865;-221.237;-220.353;-193.323;-89.252;-193.207;-142.668;-130.497;-176.232;-132.752;-323.977;-227.288;-299.967
8160;-147.052;-243.808;-184.161;-220.73;-220.877;-192.258;-87.494;-193.262;-142.979;-130.542;-177.199;-133.37;-323.004;-226.906;-299.99
8170;-144.985;-244.28;-184.825;-220.101;-221.549;-191.263;-85.865;-193.61;-143.91;-130.989;-178.226;-133.794;-321.697;-226.898;-299.73
8180;-142.822;-244.818;-185.967;-219.106;-222.909;-189.662;-84.919;-193.055;-144.276;-131.091;-178.516;-133.688;-320.459;-226.997;-298.686
8190;-140.743;-245.337;-187.215;-217.739;-223.022;-187.941;-84.197;-192.775;-144.221;-131.64;-178.869;-133.177;-318.542;-227.428;-297.828
8200;-138.287;-245.452;-187.927;-216.19;-222.621;-186.399;-83.51;-192.643;-143.754;-132.258;-178.208;-133.072;-316.887;-228.131;-297.05
