timepoints (min);46: wc-2,- -1;47: wc-2,- -2;48: wc-2,- -3
6140;-30.655;91.091;22.535
6150;-32.479;87.993;19.721
6160;-34.302;84.826;16.908
6170;-34.542;80.968;14.349
6180;-34.582;77.124;14.669
6190;-34.353;69.84;14.989
6200;-30.898;62.996;15.857
6210;-27.332;56.179;16.724
6220;-23.767;59.05;17.461
6230;-20.041;61.761;17.286
6240;-16.316;68.666;16.897
6250;-12.79;74.411;15.182
6260;-12.767;79.666;13.295
6270;-12.743;75.321;11.808
6280;-12.766;71.397;6.988
6290;-13.109;69.793;2.167
6300;-13.659;63.189;0.306
6310;-11.81;56.606;-2.058
6320;-9.498;52.732;-5.982
6330;-7.186;49.508;-7.857
6340;-2.986;44.043;-9.731
6350;0.094;37.458;-10.79
6360;3.353;30.032;-11.85
6370;3.327;19.926;-13.177
6380;3.018;9.44;-13.687
6390;2.709;-0.114;-13.572
6400;0.258;-9.411;-14.752
6410;-2.193;-14.603;-16.363
6420;-2.167;-21;-17.974
6430;-2.223;-26.037;-16.309
6440;-1.619;-31.143;-14.644
6450;-2.575;-39.01;-11.949
6460;-4.208;-46.772;-9.447
6470;-5.841;-54.015;-9.705
6480;-10.286;-61.706;-9.703
6490;-14.806;-64.588;-11.902
6500;-18.046;-66.337;-13.93
6510;-20.698;-67.815;-15.957
6520;-20.926;-59.901;-17.68
6530;-21.063;-57.746;-18.968
6540;-19.632;-55.406;-21.825
6550;-18.503;-46.505;-23.366
6560;-16.575;-38.039;-26.332
6570;-16.095;-35.212;-27.588
6580;-14.895;-32.469;-28.459
6590;-13.661;-29.926;-29.159
6600;-12.261;-26.414;-30.634
6610;-10.854;-17.977;-32.31
6620;-6.487;-6.459;-32.946
6630;-2.601;6.206;-33.778
6640;1.284;17.767;-35.09
6650;7.317;25.681;-35.286
6660;12.992;29.236;-35.001
6670;18.248;29.553;-32.579
6680;23.505;28.51;-35.342
6690;27.266;26.774;-38.212
6700;31.028;26.557;-41.833
6710;35;25.321;-46.174
6720;38.972;22.61;-47.52
6730;43.625;20.777;-47.902
6740;48.739;13.858;-45.45
6750;51.974;5.617;-43.072
6760;55.394;-3.185;-40.335
6770;55.566;-14.106;-39.639
6780;55.537;-17.148;-40.937
6790;52.948;-19.265;-40.714
6800;49.876;-18.302;-41.301
6810;45.364;-17.284;-40.847
