timepoints (min);31: frq9,- -1;32: frq9,- -2;33: frq9,- -3;34: frq10,- -1;35: frq10,- -2;36: frq10,- -3;37: wc-1,+ -1;38: wc-1,+ -2;39: wc-1,+ -3;40: wc-2,+ -1;41: wc-2,+ -2;42: wc-2,+ -3;43: wc-1,- -1;44: wc-1,- -2;45: wc-1,- -3
1900;-78.626;48.655;-48.484;-114.839;-83.799;-29.425;-136.212;-100.87;-40.617;-0.903;-25.892;1.029;0.094;-14.381;-20.428
1910;-74.326;55.87;-45.901;-112.559;-84.219;-25.771;-133.058;-100.247;-40.2;-0.494;-26.007;0.75;-2.156;-12.655;-20.926
1920;-68.981;62.961;-41.328;-110.628;-78.959;-21.803;-130.492;-99.393;-39.414;0.258;-26.815;0.098;-4.774;-13.388;-20.703
1930;-62.796;67.64;-37.237;-107.537;-75.977;-19.145;-127.287;-97.644;-39.171;0.92;-28.408;-0.262;-6.717;-15.077;-21.35
1940;-55.241;72.319;-31.906;-104.777;-70.597;-15.559;-123.556;-94.96;-39.248;1.585;-31.29;0.531;-8.28;-17.29;-21.943
1950;-48.287;76.721;-26.265;-99.306;-65.505;-11.65;-120.443;-92.189;-38.486;2.709;-33.443;2.447;-9.57;-17.761;-23.09
1960;-41.207;76.72;-19.023;-93.836;-60.727;-5.607;-117.236;-89.549;-34.859;3.396;-35.437;4.76;-12.556;-20.811;-23.752
1970;-35.887;76.719;-11.927;-86.356;-58.749;2.622;-115.086;-88.07;-32.579;3.615;-34.825;6.514;-15.514;-22.321;-24.737
1980;-29.469;74.21;-4.03;-78.036;-57.648;9.774;-113.004;-83.996;-32.262;4.153;-32.989;7.877;-20.673;-22.723;-26.396
1990;-22.531;71.701;4.513;-70.673;-55.447;18.246;-108.583;-80.284;-29.763;5.517;-33.076;10.011;-25.641;-22.524;-29.368
2000;-13.559;69.599;13.937;-65.05;-52.845;24.345;-101.971;-75.698;-28.055;5.734;-32.977;12.825;-29.986;-24.132;-33.172
2010;-1.266;67.705;22.174;-59.537;-48.332;31.161;-94.479;-72.301;-26.592;3.606;-36.098;14.317;-34.274;-26.625;-36.935
2020;10.964;65.811;30.349;-55.884;-45.979;36.237;-87.39;-69.513;-25.04;1.229;-38.651;14.083;-37.818;-29.942;-40.699
2030;22.319;62.993;36.604;-52.055;-43.71;41.661;-81.899;-66.937;-23.923;-2.254;-40.724;14.745;-41.417;-34.632;-44.034
2040;33.694;60.175;42.349;-47.44;-41.262;46.873;-76.749;-65.494;-23.83;-5.291;-42.514;16.046;-45.181;-39.428;-46.37
2050;44.807;57.357;47.134;-40.663;-38.577;52.086;-72.826;-64.277;-25.112;-9.628;-44.381;17.139;-49.105;-44.741;-48.441
2060;53.727;53.814;49.123;-33.646;-33.946;55.526;-65.895;-63.076;-25.091;-14.694;-46.895;16.88;-51.993;-50.058;-50.989
2070;62.567;50.27;50.952;-25.571;-29.474;56.974;-57.817;-60.932;-24.76;-19.117;-48.368;14.952;-54.269;-56.142;-53.217
2080;70.446;47.319;50.559;-17.89;-22.323;59.382;-52.052;-58.237;-23.901;-22.941;-50.275;13.977;-56.065;-62.236;-56.057
2090;77.884;44.167;49.897;-11.639;-14.314;60.234;-43.444;-54.759;-23.764;-26.83;-50.799;14.488;-57.368;-67.299;-57.8
2100;86.381;41.015;52.779;-7.072;-7.786;61.534;-31.629;-51.433;-24.378;-29.815;-51.905;14.341;-58.126;-71.754;-57.179
2110;93.957;38.91;55.572;-1.225;-1.917;62.792;-20.408;-49.67;-23.817;-31.735;-53.335;14.977;-59.022;-75.313;-56.226
2120;101.527;37.046;57.446;5.308;3.837;61.777;-11.685;-47.956;-21.789;-33.366;-54.662;16.246;-59.879;-78.61;-57.567
2130;110.297;33.654;60.008;11.441;8.592;61.221;-4.068;-44.372;-19.181;-35.346;-54.211;17.441;-60.643;-81.139;-58.777
2140;119.17;29.291;60.451;19.233;12.657;59.945;5.606;-40.01;-17.215;-36.983;-51.654;18.521;-61.301;-83.583;-59.815
2150;125.163;24.928;62.281;26.597;16.708;58.903;18.56;-36.234;-14.099;-37.423;-50.611;20.404;-61.279;-86.266;-59.714
2160;130.99;19.112;64.119;33.001;21.741;59.909;32.401;-31.877;-11.885;-37.353;-48.799;22.251;-62.876;-89.972;-59.966
2170;135.142;13.055;65.146;39.433;22.887;61.066;44.495;-26.574;-10.132;-37.883;-46.717;23.897;-63.524;-93.619;-60.251
2180;139.135;8.299;66.194;43.225;24.364;63.948;56.094;-21.902;-6.754;-38;-42.771;25.532;-64.494;-97.666;-61.194
2190;140.852;3.343;65.77;47.43;21.371;66.815;68.521;-17.639;-3.629;-37.535;-36.353;26.479;-65.319;-100.088;-62.178
2200;142.804;-0.692;65.324;48.342;18.537;69.683;82.419;-14.353;-2.099;-36.59;-31.025;26.204;-66.499;-101.77;-63.52
2210;144.665;-2.455;61.957;48.412;19.302;69.966;96.563;-11.025;-1.432;-36.203;-25.841;25.851;-66.909;-101.039;-64.543
2220;144.317;-3.164;58.59;45.844;21.712;67.652;109.782;-7.306;0.505;-35.553;-23.109;26.781;-66.454;-98.938;-65.748
2230;143.21;-3.159;55.134;42.116;25.981;63.579;122.422;-4.048;4.709;-35.377;-20.986;27.022;-65.012;-96.92;-65.739
2240;141.218;-3.153;49.821;37.836;28.97;57.724;132.276;0.399;7.486;-35.865;-17.352;25.85;-63.761;-95.702;-64.541
2250;137.026;-3.197;44.714;36.181;32.934;51.439;140.124;2.948;11.181;-35.429;-13.683;23.56;-63.898;-92.546;-63.473
2260;130.548;-4.047;40.273;34.601;36.974;44.926;146.023;6.046;17.505;-33.073;-7.781;21.166;-63.967;-88.305;-61.395
2270;124.069;-4.966;35.99;37.244;43.298;40.519;151.858;8.724;23.39;-31;-2.717;20.676;-63.793;-83.011;-58.563
2280;118.674;-6.08;31.934;39.952;51.338;37.657;155.942;9.167;28.713;-28.43;2.132;19.854;-62.585;-76.168;-55.448
2290;111.6;-7.194;27.877;42.339;59.357;34.794;158.197;10.857;34.738;-25.848;6.989;18.385;-61.452;-69.908;-51.606
2300;104.705;-8.607;24.092;42.13;65.066;32.458;162.046;13.354;42.858;-22.61;12.601;17.963;-60.379;-64.075;-46.48
2310;98.724;-9.339;20.628;41.872;69.012;30.68;166.077;16.03;51.521;-18.592;19.891;17.088;-61.086;-59.17;-40.234
2320;92.592;-10.072;16.783;40.028;70.439;28.108;167.683;18.639;59.23;-14.814;28.079;17.367;-62.985;-54.543;-34.648
2330;87.789;-11.182;14.658;38.059;70.094;24.561;173.668;19.916;63.844;-11.637;36.273;17.426;-65.55;-49.321;-28.823
2340;82.697;-12.092;12.532;38.514;70.124;21.132;179.783;19.902;68.701;-8.652;43.692;16.164;-68.251;-44.193;-24.923
2350;76.712;-13.292;11.993;39.135;71.634;16.057;181.178;19.841;72.461;-5.908;49.968;15.15;-69.211;-38.626;-21.175
2360;70.348;-14.502;11.454;40.596;75.417;11.415;181.859;22.415;75.033;-3.909;53.815;12.793;-69.928;-34.135;-18.135
2370;64.018;-15.952;12.283;40.388;79.679;9.596;184.069;25.868;77.4;-1.709;56.822;9.139;-69.686;-30.217;-14.45
2380;55.411;-17.401;13.112;42.019;83.879;8.057;185.399;27.87;80.083;0.597;57.385;5.921;-69.283;-27.237;-10.275
2390;46.666;-16.491;15.519;43.559;89.263;7.286;182.495;29.443;82.95;1.775;56.56;3.192;-69.738;-24.412;-6.008
2400;39.426;-15.581;16.766;44.994;94.538;6.532;175.617;31.952;83.996;2.03;56.52;-0.074;-70.465;-19.623;-2.919
2410;32.097;-15.839;17.012;48.59;98.778;5.251;167.63;34.812;83.556;2.949;56.08;-1.637;-68.895;-16.88;0.079
2420;24.368;-15.857;15.908;52.448;103.073;3.859;162.047;36.786;84.503;4.359;55.92;-2.097;-67.47;-14.086;3.542
2430;16.668;-15.861;14.803;56.786;107.288;2.408;156.043;38.63;83.868;5.299;53.295;-2.123;-65.494;-11.797;8.593
2440;9.977;-15.807;12.211;61.29;113.17;0.437;148.127;40.243;83.152;5.939;48.774;-2.625;-63.469;-9.53;14.234
2450;3.048;-16.673;9.619;66.234;118.873;-1.917;138.018;43.121;83.821;6.97;44.772;-3.338;-60.924;-8.499;20.692
2460;-3.88;-17.394;8.159;71.095;121.305;-3.641;128.319;45.695;85.393;8.909;40.964;-4.433;-57.807;-7.556;26.59
2470;-8.928;-18.676;6.698;75.487;123.092;-5.366;118.153;46.335;86.159;10.59;37.417;-6.258;-55.21;-7.225;30.949
2480;-13.977;-19.964;6.117;79.319;123;-5.061;109.396;46.783;84.788;12.327;32.923;-6.961;-51.912;-6.404;33.262
2490;-18.094;-20.335;6.47;82.895;122.887;-4.743;102.687;46.433;82.323;14.803;29.337;-6.95;-48.546;-5.742;34.865
2500;-22.211;-20.746;6.949;84.697;120.286;-3.883;96.372;46.669;80.985;17.273;25.868;-7.177;-42.661;-3.959;36.011
2510;-26.772;-21.192;8.349;86.622;117.808;-3.297;89.992;46.875;78.781;19.728;22.781;-7.692;-36.37;-3.433;36.312
2520;-31.054;-20.724;9.749;85.87;115.211;-3.193;82.385;47.097;75.2;21.234;18.894;-9.149;-29.818;-1.921;35.688
2530;-35.349;-18.828;11.399;85.215;111.789;-3.61;78.148;49.679;71.338;21.637;15.457;-10.622;-23.924;-0.938;34.92
2540;-37.804;-17.131;13.048;85.68;110.007;-4.199;77.07;51.312;67.931;21.421;12.088;-11.463;-19.31;0.365;33.708
2550;-40.156;-13.674;13.033;88.243;110.273;-5.189;74.801;52.222;63.808;20.997;10.137;-13.233;-15.348;1.239;31.894
2560;-41.532;-9.804;13.066;90.661;110.777;-7.488;70.163;53.174;59.207;21.446;7.052;-13.103;-13.617;1.552;30.617
2570;-42.606;-5.934;13.724;94.335;113.986;-9.207;66.287;54.374;54.219;23.665;2.01;-13.154;-11.526;1.343;29.545
2580;-45.703;-3.753;14.244;97.658;115.852;-10;60.208;55.484;49.396;26.328;-2.377;-14.077;-6.666;0.501;29.313
