timepoints (min);16: frq7+.1;17: frq7+.2;18: frq7+.3;19: frq1-.1;;;20: frq7-.1;21: frq7-.2;22: frq7-.3;23: frq9+.2;24: frq9+.3;;25: frq10+.1;26: frq10+.3
2610;-120.35;-124.4;-59.229;260.832;;;-146.639;-111.508;-193.868;6.359;92.237;;302.033;148.517
2620;-110.103;-114.451;-59.429;249.614;;;-144.026;-112.833;-191.601;-0.011;80.157;;285.152;149.527
2630;-99.818;-104.966;-59.764;235.625;;;-140.167;-112.676;-190.065;-5.501;67.51;;266.899;151.077
2640;-89.785;-94.103;-60.037;220.617;;;-135.87;-112.294;-187.894;-10.844;56.023;;247.417;155.188
2650;-82.142;-81.081;-60.331;203.752;;;-131.484;-110.972;-184.997;-14.668;46.331;;227.823;157.555
2660;-74.836;-69.156;-58.658;186.852;;;-126.4;-109.269;-180.381;-17.662;37.199;;209.768;160.094
2670;-66.888;-55.883;-55.418;168.782;;;-121.588;-107.979;-176.378;-20.537;29.463;;191.088;159.713
2680;-56.418;-40.803;-51.654;151.778;;;-117.274;-106.975;-170.746;-24.47;21.839;;171.885;158.691
2690;-47.589;-27.599;-47.917;134.294;;;-111.113;-106.491;-165.058;-29.324;15.774;;151.89;157.697
2700;-38.985;-15.497;-42.179;120.244;;;-102.679;-106.498;-158.994;-35.375;11.12;;132.412;153.481
2710;-32.436;-1.554;-36.385;109.553;;;-90.971;-106.583;-151.687;-40.466;6.026;;115.097;146.419
2720;-27.188;12.316;-29.035;99.297;;;-75.582;-106.622;-144.83;-45.964;1.16;;101.112;139.143
2730;-20.025;28.046;-21.401;89.199;;;-60.298;-107.735;-138.614;-49.622;-4.051;;86.783;131.705
2740;-10.128;42.128;-14.365;78.846;;;-44.754;-108.68;-134.354;-53.501;-9.327;;74.557;124.135
2750;-0.094;56.044;-6.577;66.572;;;-30.23;-109.468;-130.101;-59.779;-15.531;;65.647;115.848
2760;13.327;70.44;0.799;52.203;;;-14.102;-110.057;-126.095;-65.589;-23.055;;54.811;107.531
2770;29.022;85.095;9.618;37.895;;;6.903;-110.582;-122.114;-72.719;-30.232;;43.309;98.072
2780;42.469;98.27;18.737;22.978;;;29.408;-108.961;-118.301;-79.869;-38.648;;30.608;88.509
2790;58.389;113.592;27.979;9.029;;;52.397;-106.003;-115.309;-84.619;-45.946;;16.193;79.513
2800;76.138;126.134;37.061;-5.183;;;77.534;-103.273;-109.797;-89.577;-53.367;;0.41;71.143
2810;94.135;142.196;42.523;-17.926;;;102.742;-100.306;-105.084;-93.334;-60.988;;-14.621;62.615
