timepoints (min);30: frq9-.1;31: frq9-.2;32: frq9-.3;33: frq10-.1;34: frq10-.2;35: frq10-.3;36: wc-1+.1;37: wc-1+.2;38: wc-1+.3;39: wc-2+.1;40: wc-2+.3;;41: wc-1-.1;42: wc-1-.2;43: wc-1-.3
2200;-147.025;5.419;-13.072;-31.386;-52.448;-69.298;-98.472;-66.753;-118.88;15.092;11.377;;-34.491;-31.517;-12
2210;-141.025;7.399;-12.047;-27.618;-53.808;-68.639;-96.808;-65.349;-120.03;15.065;11.599;;-30.055;-28.89;-13.921
2220;-133.181;9.495;-10.822;-23.52;-52.506;-68.974;-95.081;-63.865;-120.575;15.023;11.821;;-27.469;-25.702;-14.794
2230;-125.274;10.672;-7.877;-20.899;-50.779;-69.109;-93.317;-62.299;-120.943;15.142;11.003;;-27.291;-21.607;-13.491
2240;-116.679;11.135;-3.977;-20.476;-47.873;-67.008;-90.502;-60.564;-120.148;14.701;10.185;;-26.868;-17.855;-10.588
2250;-108.234;11.519;0.29;-19.08;-45.599;-64.028;-86.68;-58.65;-118.623;14.501;9.505;;-27.724;-13.792;-9.585
2260;-98.137;12.772;3.876;-17.359;-43.389;-60.761;-82.877;-56.759;-116.611;14.377;8.832;;-27.701;-9.423;-8.775
2270;-87.852;13.999;7.469;-17.492;-40.571;-59.657;-79.684;-55.174;-114.297;12.252;8.159;;-28.79;-5.731;-8.188
2280;-76.636;15.545;11.782;-19.208;-38.059;-57.575;-76.054;-53.455;-111.621;10.488;6.686;;-29.75;-2.415;-6.386
2290;-65.817;17.577;16.556;-22.32;-33.026;-56.712;-72.119;-51.688;-108.465;8.4;5.212;;-30.287;0.244;-3.288
2300;-54.977;20.688;20.367;-24.732;-29.028;-54.633;-67.663;-48.908;-105.328;6.346;3.684;;-30.352;2.672;-0.894
2310;-44.563;24.735;23.916;-26.897;-24.567;-54.19;-62.454;-44.858;-102.548;4.292;2.218;;-29.571;4.492;3.685
2320;-34.314;30.982;27.306;-28.106;-20.074;-53.657;-57.04;-41.008;-99.681;2.203;0.752;;-29.578;5.774;8.6
2330;-22.665;37.181;29.017;-30.804;-13.03;-55.163;-52.211;-37.172;-97.801;0.148;1.246;;-30.279;7.806;13.335
2340;-10.988;41.659;30.761;-32.401;-5.167;-57.91;-47.637;-33.326;-96.134;-0.588;1.739;;-32.011;10.426;14.517
2350;2.142;46.903;33.033;-32.251;4.473;-55.324;-42.17;-28.426;-94.273;-1.323;2.199;;-34.321;12.034;13.659
2360;14.03;51.548;35.702;-33.232;12.709;-48.99;-36.839;-23.677;-92.539;-0.797;2.437;;-35.931;14.414;18.847
2370;27.159;56.899;38.109;-34.546;21.379;-41.444;-30.957;-18.908;-90.168;-0.21;2.676;;-37.531;14.676;23.855
2380;39.815;61.499;40.236;-32.705;27.582;-31.128;-25.604;-14.668;-86.732;0.338;2.154;;-38.454;14.139;26.172
2390;52.189;65.779;42.459;-30.832;30.523;-20.821;-20.239;-10.148;-82.266;1.726;1.633;;-40.652;11.992;26.357
2400;63.287;69.374;44.28;-30.719;33.086;-10.193;-14.523;-5.53;-76.786;2.954;1.201;;-42.801;9.27;26.044
2410;73.709;70.968;46.077;-29.644;31.833;3.879;-8.989;-0.592;-71.308;4.252;0.68;;-44.996;6.517;26.284
2420;83.396;72.115;47.654;-28.583;29.989;16.586;-3.706;4.199;-65.214;4.99;0.559;;-45.924;3.443;27.039
2430;92.89;71.221;48.31;-28.495;28.291;28.036;2.668;9.644;-58.768;5.848;-0.003;;-46.283;0.75;27.432
2440;102.244;70.389;48.87;-28.043;29.426;38.891;10.43;15.292;-52.167;6.768;-0.571;;-46.354;-1.461;27.956
2450;109.96;70.717;47.47;-26.818;32.036;48.317;17.843;20.876;-45.465;8.746;-1.139;;-46.285;-3.868;27.265
2460;119.593;71.328;46.181;-25.921;36.527;57.521;25.112;26.694;-38.913;10.724;-1.446;;-45.786;-5.393;25.25
2470;127.524;72.059;43.781;-26.066;39.535;65.517;33.23;32.739;-30.572;12.382;-1.512;;-45.23;-6.585;23.465
2480;135.448;72.269;40.501;-26.044;38.527;70.916;44.041;38.357;-22.287;14.192;-0.258;;-46.491;-7.978;22.087
2490;140.763;71.305;37.014;-26.425;36.367;73.472;54.51;43.785;-14.134;16.513;0.851;;-46.703;-8.887;21.106
2500;146.05;70.469;33.727;-28.178;33.956;75.348;65.847;49.178;-4.825;18.834;1.96;;-46.383;-9.352;20.785
2510;148.764;69.764;29.855;-29.674;31.612;78.567;78.534;55.811;6.411;20.255;3;;-44.782;-8.476;19.955
2520;152.092;69.259;27.131;-29.975;29.542;85.236;91.818;63.316;18.338;21.566;1.76;;-42.039;-6.447;19.999
2530;154.65;69.879;24.687;-29.473;26.408;89.76;105.247;71.24;31.546;22.516;0.24;;-38.651;-4.407;19.021
2540;157.999;70.298;22.45;-28.946;19.214;94.153;117.997;79.537;44.014;23.466;-1.294;;-36.091;-2.657;16.56
2550;159.626;70.772;20.812;-27.897;12.574;96.365;129.501;87.239;57.455;24.03;-2.828;;-33.392;-2.332;14.437
2560;160.43;68.847;19.552;-25.087;6.505;99.743;140.007;94.727;72.519;24.67;-4.651;;-31.487;-0.742;11.808
2570;161.241;65.183;18.247;-21.825;-0.087;101.942;151.381;102.343;87.832;25.07;-6.434;;-28.701;2.268;8.979
2580;159.794;59.12;16.862;-20.117;-7.644;105.81;163.175;109.542;103.702;25.39;-9.098;;-26.359;4.674;6.32
2590;158.541;52.291;15.636;-17.68;-14.923;110.763;174.672;116.468;120.145;25.841;-11.527;;-26.239;5.462;4.49
2600;155.646;45.428;14.29;-12.916;-22.708;113.119;184.208;122.69;136.452;26.354;-13.956;;-26.33;4.885;2.401
2610;152.971;39.309;12.457;-7.836;-30.291;115.043;193.677;129.103;153.022;25.828;-16.509;;-26.651;5.335;0.463
2620;150.206;34.697;11.422;-2.921;-37.833;115.927;203.49;135.109;169.753;25.821;-17.222;;-25.414;6.588;-1.854
2630;146.596;31.084;10.724;0.883;-42.429;116.397;213.154;141.039;185.386;25.752;-17.175;;-23.537;8.161;-3.125
2640;144.237;28.234;10.157;4.812;-42.257;117.432;222.891;145.069;200.862;24.788;-17.142;;-21.495;9.543;-3.324
2650;142.341;26.425;9.95;8.248;-40.623;118.421;231.567;148.895;215.898;23.823;-17.137;;-20.952;10.923;-1.858
2660;140.61;24.194;9.875;11.272;-37.648;115.876;239.159;153.859;231.023;24.659;-17.131;;-21.974;12.27;-0.075
2670;137.883;21.644;10.797;13.117;-34.392;115.691;246.942;158.844;245.234;25.35;-17.326;;-24.317;14.321;1.125
2680;135.335;20.313;12.883;13.823;-32.756;115.677;252.601;162.677;258.79;25.832;-17.52;;-27.279;16.601;0.846
2690;131.19;18.622;15.168;16.705;-30.786;116.771;256.466;166.034;271.639;26.313;-17.639;;-30.097;18.594;-1.043
2700;127.073;17.077;18.254;20.234;-29.625;117.128;259.127;169.509;284.208;26.411;-17.709;;-32.941;20.746;-2.709
2710;121.139;16.026;21.215;24.233;-28.948;117.568;259.277;172.997;296.746;26.847;-17.779;;-36.33;22.121;-3.949
2720;116.497;14.634;24.52;28.72;-27.217;117.823;258.33;176.644;306.89;27.603;-18.97;;-39.866;22.858;-5.374
2730;111.277;13.604;28.484;35.004;-22.714;119.858;254.433;178.193;316.207;28.359;-20.16;;-41.316;21.858;-6.406
2740;107.353;13.734;31.898;42.952;-18.299;117.879;249.006;177.959;324.524;24.796;-21.164;;-40.898;20.582;-7.479
2750;103.263;13.414;34.872;51.274;-13.441;113.196;242.822;176.383;330.897;21.419;-22.106;;-39.546;19.808;-8.512
2760;98.934;12.254;37.763;60.269;-8.766;106.659;235.142;173.674;334.957;18.923;-23.048;;-38.501;17.861;-7.669
2770;94.425;10.825;38.694;68.341;-3.446;98.607;227.468;169.673;338.263;16.266;-21.39;;-38.491;16.188;-7.24
2780;88.724;7.596;39.017;76.748;2.139;91.171;218.411;166.48;337.538;13.568;-19.732;;-39.441;15.179;-0.257
2790;82.954;3.868;39.164;87.177;9.021;82.982;209.777;162.641;335.422;10.519;-18.357;;-40.47;15.197;9.291
2800;77.777;0.059;39.232;98.285;15.389;75.579;201.876;158.734;332.241;7.869;-16.754;;-41.572;16.571;15.883
2810;73.339;-2.063;39.244;108.916;21.927;67.801;194.585;153.654;327.029;6.099;-15.632;;-42.076;17.291;23.167
2820;68.037;-4.417;38.737;118.741;30.194;61.746;187.479;148.145;320.421;4.578;-14.549;;-43.189;17.145;25.182
2830;62.623;-4.163;37.757;128.953;37.062;56.919;179.826;142.519;311.953;3.109;-13.514;;-42.553;16.717;24.684
