timepoints (min);46: wc-2,- -2;47: wc-2,- -3
11100;-12.332;-42.692
11110;-8.445;-37.301
11120;-4.91;-31.909
11130;0.465;-26.517
11140;5.84;-21.125
11150;11.132;-15.513
11160;18.345;-9.901
11170;25.557;-4.288
11180;31.953;3.56
11190;38.577;8.168
11200;44.683;12.777
11210;48.549;17.385
11220;51.873;21.993
11230;55.839;26.077
11240;58.684;30.161
11250;61.53;34.246
11260;65.069;34.53
11270;68.928;32.214
11280;72.788;29.898
11290;76.465;27.582
11300;78.222;25.266
11310;79.655;23.612
11320;81.688;21.621
11330;83.825;19.629
11340;84.957;18.997
11350;86.73;17.766
11360;88.137;16.534
11370;88.342;15.302
11380;86.148;14.07
11390;83.484;13.99
11400;80.301;13.91
11410;75.677;13.83
11420;71.53;13.75
11430;67.359;13.35
11440;63.188;12.95
11450;58.764;12.55
11460;56.739;12.116
11470;54.859;12.337
11480;52.979;12.557
11490;51.861;12.826
11500;50.901;13.116
11510;48.901;15.926
11520;46.646;19.273
11530;43.411;23.759
11540;40.097;28.244
11550;36.686;33.695
11560;34.732;39.029
11570;30.406;44.363
11580;26.079;49.172
11590;21.032;54.25
11600;15.75;59.327
11610;11.611;64.625
11620;8.432;69.923
11630;5.811;74.586
11640;4.148;79.25
11650;3.618;83.686
11660;3.24;88.211
11670;2.702;94.897
11680;3.142;99.659
11690;3.596;104.188
11700;5.45;108.716
11710;7.103;112.851
11720;8.822;117.076
11730;10.637;121.301
11740;12.542;125.47
11750;12.487;128.263
11760;13.309;132.185
11770;14.145;136.106
11780;13.061;140.241
11790;11.942;145.259
11800;13.768;150.277
11810;14.074;155.412
11820;14.705;159.817
11830;11.615;167.261
11840;10.194;173.346
11850;8.884;180.108
11860;4.734;186.869
11870;0.528;193.927
11880;-3.898;200.799
11890;-6.444;207.67
11900;-8.659;214.342
11910;-9.043;216.498
11920;-8.997;216.101
11930;-9.069;215.703
11940;-8.421;215.292
11950;-9.003;215.626
11960;-9.743;215.96
11970;-9.204;216.866
11980;-8.251;217.628
11990;-8.681;211.709
12000;-7.152;206.946
12010;-5.491;202.342
12020;-6.59;197.738
12030;-4.997;193.575
12040;-3.404;189.199
12050;-4.971;184.877
12060;-6.924;180.556
12070;-9.766;172.4
12080;-8.887;161.004
12090;-8.153;149.328
12100;-8.339;137.394
12110;-6.752;125.047
12120;-5.061;109.579
12130;-3.49;87.85
12140;-5.025;66.037
12150;-6.567;39.145
12160;-9.629;16.379
12170;-12.394;-6.724
12180;-15.16;-26.788
12190;-18.797;-45.43
12200;-22.414;-63.839
12210;-26.39;-83.658
12220;-31.932;-103.477
12230;-37.268;-121.535
12240;-39.683;-132.872
12250;-42.119;-142.888
12260;-45.434;-153.432
12270;-45.99;-164.21
12280;-46.85;-175.316
