timepoints (min);30: frq9-.1;31: frq9-.2;32: frq9-.3;33: frq10-.1;34: frq10-.2;35: frq10-.3;36: wc-1+.1;37: wc-1+.2;38: wc-1+.3;39: wc-2+.1;40: wc-2+.2;;41: wc-1-.1;42: wc-1-.3
2960;-164.57;-42.719;-134.248;-14.243;-30.61;52.677;62.822;-21.302;10.183;-12.163;-21.266;;45.463;-22.833
2970;-154.692;-37.519;-126.592;-12.257;-25.519;60.39;59.659;-20.647;12.87;-17.807;-22.666;;37.592;-19.272
2980;-143.757;-31.988;-120.425;-10.589;-20.49;66.401;55.858;-20.007;14.949;-23.451;-24.054;;31.297;-16.094
2990;-132.65;-29.337;-114.258;-7.684;-16.978;74.141;50.647;-19.585;16.237;-29.567;-25.081;;25.851;-14.561
3000;-122.135;-26.753;-108.044;-4.643;-13.283;86.001;46.001;-20.029;16.726;-34.808;-26.557;;22.422;-12.207
3010;-106.872;-21.692;-99.63;-1.229;-8.588;97.673;41.782;-20.382;17.641;-40.05;-27.999;;22.505;-9.921
3020;-92.739;-14.647;-89.942;0.65;-4.321;111.698;37.774;-19.674;20.207;-44.189;-28.735;;25.243;-7.11
3030;-76.913;-7.761;-78.836;2.433;1.113;122.709;32.759;-18.797;22.913;-46.457;-29.081;;27.818;-2.361
3040;-67.121;-0.287;-68.203;3.767;6.499;131.026;27.156;-18.808;24.912;-48.724;-29.695;;28.455;4.204
3050;-58.43;8.474;-58.183;4.775;12.705;139.054;24.121;-18.748;26.639;-51.873;-30.913;;27.188;10.015
3060;-49.919;18.548;-48.164;5.546;17.199;147.35;22.488;-17.592;28.492;-54.794;-33.069;;27.985;16.228
3070;-35.312;30.261;-38.513;6.39;20.724;157.29;19.968;-16.694;30.659;-57.716;-35.15;;27.269;20.513
3080;-18.948;39.782;-28.887;7.2;22.229;167.001;18.778;-14.218;33.032;-60.193;-38.143;;24.901;25.116
3090;-7.08;44.662;-19.432;8.749;23.157;178.832;18.11;-12.101;34.725;-63.604;-39.255;;20.138;29.339
3100;2.754;49.099;-9.088;10.906;26.08;191.499;16.99;-8.928;35.923;-66.912;-38.426;;18.755;33.57
3110;12.59;54.057;1.321;12.581;28.599;201.519;15.324;-6.668;34.586;-70.408;-38.545;;17.273;36.324
3120;27.492;59.247;10.274;13.473;29.221;217.905;12.964;-4.618;32.914;-70.895;-41.97;;12.577;38.775
3130;42.084;64.217;19.228;13.538;28.537;231.614;8.701;-1.381;28.93;-71.437;-44.941;;8.452;40.981
3140;59.229;73.019;28.134;14.039;27.619;246.618;4.604;0.786;24.766;-70.036;-45.174;;9.59;42.382
3150;75.028;83.822;37.137;14.258;28.301;254.327;2.709;2.207;20.996;-69.068;-45.026;;9.621;43.985
3160;91.826;94.192;43.912;15.091;31.073;263.41;-0.21;4.997;18.447;-68.724;-45.225;;5.528;45.241
3170;110.767;104.67;51.128;16.406;33.694;269.199;-4.048;8.346;16.185;-68.443;-45.306;;4.69;44.277
